,AREA_TITLE,OCC_TITLE,OCC_CODE,TOT_EMP,JOBS_1000,LOC_QUOTIENT,H_PCT10,H_PCT25,H_MEDIAN,H_MEAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_MEAN,A_PCT75,A_PCT90
13063,Maine,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,260,0.446,1.04,25.01,28.61,36.50,37.66,46.28,54.39,"52,030","59,510","75,930","78,320","96,250","113,120"
13695,Maryland,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"1,890",0.749,1.74,28.88,39.66,51.05,52.39,63.83,79.02,"60,070","82,480","106,190","108,960","132,760","164,360"
14432,Massachusetts,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"1,060",0.318,0.74,33.24,39.89,52.30,55.12,63.83,82.43,"69,130","82,960","108,790","114,660","132,760","171,460"
15168,Michigan,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"1,940",0.494,1.15,22.39,26.68,35.93,38.19,46.62,57.81,"46,570","55,500","74,730","79,440","96,960","120,250"
15920,Minnesota,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,950,0.351,0.82,31.39,38.55,46.72,47.24,56.60,66.59,"65,300","80,180","97,170","98,260","117,730","138,520"
16659,Mississippi,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,70,0.062,0.15,15.00,15.15,27.14,29.67,40.20,53.49,"31,200","31,510","56,440","61,710","83,620","111,260"
17348,Missouri,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,970,0.360,0.84,26.96,35.20,46.51,48.25,58.86,78.50,"56,070","73,210","96,730","100,370","122,430","163,290"
18076,Montana,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,40,0.090,0.21,22.83,34.38,41.37,40.98,49.66,57.34,"47,490","71,510","86,060","85,240","103,290","119,270"
18708,Nebraska,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,370,0.389,0.91,16.32,20.11,24.29,30.85,39.17,55.62,"33,940","41,830","50,530","64,170","81,480","115,690"
19373,Nevada,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,160,0.127,0.30,32.95,41.47,51.53,54.74,63.88,84.56,"68,540","86,250","107,170","113,860","132,860","175,880"
20035,New Hampshire,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,140,0.220,0.51,31.40,36.89,46.09,49.20,58.14,67.37,"65,320","76,730","95,870","102,330","120,920","140,140"
20672,New Jersey,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"1,770",0.469,1.09,33.03,42.44,54.35,55.89,67.13,82.61,"68,710","88,280","113,050","116,250","139,620","171,830"
21406,New Mexico,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,**,**,**,16.90,26.44,35.54,35.60,46.64,52.59,"35,140","54,990","73,910","74,050","97,010","109,380"
22052,New York,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"3,950",0.454,1.06,27.21,40.87,56.88,59.73,76.15,94.79,"56,590","85,020","118,310","124,240","158,390","197,170"
22834,North Carolina,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"2,340",0.546,1.27,32.61,40.97,52.85,56.43,68.92,84.73,"67,820","85,210","109,930","117,370","143,350","176,230"
24151,Ohio,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"2,390",0.466,1.09,23.43,30.27,38.79,40.58,49.02,61.88,"48,730","62,970","80,680","84,400","101,950","128,710"
24924,Oklahoma,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,870,0.559,1.30,20.25,25.57,31.19,34.34,41.80,52.24,"42,110","53,190","64,880","71,420","86,940","108,660"
25638,Oregon,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,740,0.408,0.95,23.23,29.94,39.88,41.80,52.32,63.15,"48,310","62,280","82,950","86,930","108,830","131,350"
26382,Pennsylvania,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"1,940",0.352,0.82,20.63,26.09,35.82,38.47,48.56,62.63,"42,910","54,270","74,510","80,010","100,990","130,270"
27151,Rhode Island,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,250,0.569,1.32,19.48,33.69,42.62,42.85,52.75,64.54,"40,520","70,070","88,650","89,130","109,730","134,240"
27707,South Carolina,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,110,0.055,0.13,18.33,19.50,27.48,34.41,48.58,66.21,"38,130","40,570","57,150","71,580","101,040","137,710"
28391,South Dakota,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,50,0.131,0.30,21.59,28.00,36.75,38.17,48.85,57.45,"44,920","58,230","76,440","79,380","101,600","119,500"
28967,Tennessee,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"1,280",0.440,1.03,25.26,29.52,37.86,42.52,52.23,65.32,"52,550","61,410","78,750","88,450","108,640","135,860"
29718,Texas,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"4,310",0.356,0.83,30.95,40.09,48.76,50.08,60.20,73.87,"64,380","83,390","101,410","104,170","125,220","153,660"
30509,Utah,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,400,0.268,0.62,19.19,25.47,36.53,38.41,48.13,62.99,"39,910","52,980","75,980","79,890","100,110","131,020"
31772,Virginia,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"2,450",0.661,1.54,21.95,32.93,44.43,47.92,60.88,82.10,"45,650","68,500","92,410","99,670","126,640","170,760"
32521,Washington,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,"2,610",0.816,1.90,29.38,41.19,56.37,56.88,70.74,84.93,"61,120","85,670","117,260","118,320","147,150","176,650"
33270,West Virginia,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,140,0.220,0.51,21.82,26.70,30.31,35.53,43.80,59.49,"45,380","55,540","63,030","73,900","91,090","123,740"
33901,Wisconsin,"Data Scientists and Mathematical Science Occupations, All Other",15-2098,760,0.280,0.65,20.38,30.99,39.33,40.06,48.09,59.93,"42,380","64,450","81,810","83,330","100,020","124,650"
